Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.0325506,4.033362,0.0,97.91919191919192,0.0
20000,1.0412768,4.2476954,0.0,98.0,0.0
30000,1.0167056,4.3161955,0.0,98.0,0.0
40000,1.0015935,4.621945,0.0,98.0,0.0
50000,0.9819107,4.1776147,0.0,98.0,0.0
60000,0.98005897,4.635306,0.0,98.0,0.0
70000,0.96640426,3.04829,0.0,98.0,0.0
80000,1.004119,3.6081064,0.0,98.0,0.0
90000,1.0205772,2.241442,0.0,98.0,0.0
100000,1.00762,3.3798714,0.0,98.0,0.0
110000,0.991565,2.6559212,0.0,98.0,0.0
120000,1.0008765,2.2204747,0.0,98.0,0.0
130000,1.0120082,1.877298,0.0,98.0,0.0
140000,0.9686494,2.5275743,0.0,98.0,0.0
150000,0.96420366,4.4798284,0.0,98.0,0.0
160000,1.0257086,2.8344646,0.0,98.0,0.0
170000,0.99252784,1.6901807,0.0,98.0,0.0
180000,0.9458991,3.1281693,0.0,98.0,0.0
190000,0.9044856,2.665984,0.0,98.0,0.0
200000,0.96784914,1.3893764,0.0,98.0,0.0
210000,0.9676439,0.95249474,0.0,98.0,0.0
220000,0.96806055,0.27376226,0.0,98.0,0.0
230000,0.9564985,0.3803149,0.0,98.0,0.0
240000,0.90682954,0.37991893,0.0,98.0,0.0
250000,0.8522,0.66090447,0.0,98.0,0.0
260000,0.865522,0.23996589,0.0,98.0,0.0
270000,0.8700492,-2.886896,0.0,98.0,0.0
280000,0.8518345,1.1443406,0.0,98.0,0.0
290000,0.888836,0.26104856,0.0,98.0,0.0
300000,0.9265623,-0.093091294,0.0,98.0,0.0
310000,0.91969746,-0.17706923,0.0,98.0,0.0
320000,0.86597157,1.786446,0.0,98.0,0.0
330000,0.84742457,0.45438287,0.0,98.0,0.0
340000,0.8719756,1.0868837,0.0,98.0,0.0
350000,0.9062945,0.06695502,0.0,98.0,0.0
360000,0.85163975,0.3581704,0.0,98.0,0.0
370000,0.87198615,0.14199254,0.0,98.0,0.0
380000,0.8331311,1.3424166,0.0,98.0,0.0
390000,0.8583403,0.54908293,0.0,98.0,0.0
400000,0.92534554,-0.028532794,0.0,98.0,0.0
410000,0.8548551,1.118354,0.0,98.0,0.0
420000,0.79903793,0.9590704,0.0,98.0,0.0
430000,0.8244532,-0.36756882,0.0,98.0,0.0
440000,0.78986967,0.06759456,0.0,98.0,0.0
450000,0.80018264,0.3046234,0.0,98.0,0.0
460000,0.7636961,0.6828474,0.0,98.0,0.0
470000,0.8140521,0.20564592,0.0,98.0,0.0
480000,0.7945279,-0.075310454,0.0,98.0,0.0
490000,0.7817648,0.2920132,0.0,98.0,0.0
500000,0.8025985,-0.042697642,0.0,98.0,0.0
